source,target,delta_weight
END,IMM,0.194245645136743
END,MES,0.045013670442823
END,PEC,0.0130348724498197
END,POD,0.0466293218509166
END,SMC,0.0122798677116824
END,TEC,0.0
IMM,END,0.0049245688163182
IMM,MES,0.0540392427534498
IMM,PEC,0.0417922289730256
IMM,POD,0.0482104468809027
IMM,SMC,0.0400471186575955
IMM,TEC,0.0309250113754336
MES,END,0.0652206638897154
MES,IMM,0.249326555710294
MES,PEC,0.284194909057093
MES,POD,0.237668747576143
MES,SMC,0.256539639604105
MES,TEC,0.126787945016021
PEC,END,0.0734502619043673
PEC,IMM,0.488986116190782
PEC,MES,0.198455572545212
PEC,POD,0.207511497356511
PEC,SMC,0.166795695672282
PEC,TEC,0.15539675914618
POD,END,0.0762281188956339
POD,IMM,0.482974323115158
POD,MES,0.169995302362377
POD,PEC,0.317386903348224
POD,SMC,0.191722178909205
POD,TEC,0.105487219328998
SMC,END,0.0495599172792765
SMC,IMM,0.350988035575675
SMC,MES,0.120873170937907
SMC,PEC,0.173729280277232
SMC,POD,0.201233773277117
SMC,TEC,0.109677623193567
TEC,END,0.0130856065423299
TEC,IMM,0.259138036648324
TEC,MES,0.0929127192810956
TEC,PEC,0.155822813351928
TEC,POD,0.136824490587621
TEC,SMC,0.106277361808622
